"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_009","ANN_001","initial_state","0.000","12.254","0","294","12.254","human_verified"
"IRON_009","ANN_002","slip","7.572","7.772","182","187","0.200","human_verified"
"IRON_009","ANN_003","approach","12.254","13.754","294","330","1.500","human_verified"
"IRON_009","ANN_004","position","13.754","14.754","330","354","1.000","human_verified"
"IRON_009","ANN_005","iron_stroke","13.754","30.289","330","727","16.535","human_verified"
"IRON_009","ANN_006","slip","13.754","13.954","330","335","0.200","human_verified"
"IRON_009","ANN_007","slip","15.144","15.344","363","368","0.200","human_verified"
"IRON_009","ANN_008","slip","21.126","21.326","507","512","0.200","human_verified"
"IRON_009","ANN_009","slip","22.717","22.917","545","550","0.200","human_verified"
"IRON_009","ANN_010","reposition","30.289","37.861","727","909","7.572","human_verified"
"IRON_009","ANN_011","slip","30.289","30.489","727","732","0.200","human_verified"
"IRON_009","ANN_012","slip","37.861","38.061","909","913","0.200","human_verified"
"IRON_009","ANN_013","release","37.861","38.861","909","933","1.000","human_verified"
"IRON_009","ANN_014","terminal_state","38.861","45.433","933","1090","6.572","human_verified"
