"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_008","ANN_001","initial_state","0.000","8.793","0","211","8.793","human_verified"
"IRON_008","ANN_002","slip","7.494","7.694","180","185","0.200","human_verified"
"IRON_008","ANN_003","approach","8.793","10.293","211","247","1.500","human_verified"
"IRON_008","ANN_004","position","10.293","11.293","247","271","1.000","human_verified"
"IRON_008","ANN_005","iron_stroke","10.293","37.472","247","899","27.179","human_verified"
"IRON_008","ANN_006","slip","10.293","10.493","247","252","0.200","human_verified"
"IRON_008","ANN_007","slip","14.989","15.189","360","365","0.200","human_verified"
"IRON_008","ANN_008","slip","17.588","17.788","422","427","0.200","human_verified"
"IRON_008","ANN_009","slip","22.483","22.683","540","544","0.200","human_verified"
"IRON_008","ANN_010","slip","29.978","30.178","719","724","0.200","human_verified"
"IRON_008","ANN_011","slip","37.472","37.672","899","904","0.200","human_verified"
"IRON_008","ANN_012","release","37.472","38.472","899","923","1.000","human_verified"
"IRON_008","ANN_013","terminal_state","38.472","44.967","923","1079","6.495","human_verified"
