"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_011","ANN_001","initial_state","0.000","8.814","0","212","8.814","human_verified"
"IRON_011","ANN_002","approach","8.814","10.314","212","248","1.500","human_verified"
"IRON_011","ANN_003","slip","9.017","9.217","216","221","0.200","human_verified"
"IRON_011","ANN_004","iron_stroke","10.314","45.083","248","1082","34.769","human_verified"
"IRON_011","ANN_005","slip","10.314","10.514","248","252","0.200","human_verified"
"IRON_011","ANN_006","position","18.033","19.033","433","457","1.000","human_verified"
"IRON_011","ANN_007","slip","18.033","18.233","433","438","0.200","human_verified"
"IRON_011","ANN_008","tension","19.131","21.131","459","507","2.000","human_verified"
"IRON_011","ANN_009","slip","19.131","19.331","459","464","0.200","human_verified"
"IRON_011","ANN_010","slip","27.050","27.250","649","654","0.200","human_verified"
"IRON_011","ANN_011","slip","36.067","36.267","866","870","0.200","human_verified"
"IRON_011","ANN_012","slip","45.083","45.283","1082","1087","0.200","human_verified"
"IRON_011","ANN_013","release","45.083","46.083","1082","1106","1.000","human_verified"
"IRON_011","ANN_014","terminal_state","46.083","54.100","1106","1298","8.017","human_verified"
