"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_005","ANN_001","initial_state","0.000","8.439","0","203","8.439","human_verified"
"IRON_005","ANN_002","approach","8.439","9.939","203","239","1.500","human_verified"
"IRON_005","ANN_003","position","9.939","10.939","239","263","1.000","human_verified"
"IRON_005","ANN_004","slip","9.939","10.139","239","243","0.200","human_verified"
"IRON_005","ANN_005","iron_stroke","13.345","49.694","320","1193","36.349","human_verified"
"IRON_005","ANN_006","slip","13.345","13.545","320","325","0.200","human_verified"
"IRON_005","ANN_007","slip","19.878","20.078","477","482","0.200","human_verified"
"IRON_005","ANN_008","slip","23.084","23.284","554","559","0.200","human_verified"
"IRON_005","ANN_009","tension","29.817","31.817","716","764","2.000","human_verified"
"IRON_005","ANN_010","slip","29.817","30.017","716","720","0.200","human_verified"
"IRON_005","ANN_011","slip","49.694","49.894","1193","1197","0.200","human_verified"
"IRON_005","ANN_012","release","49.694","50.694","1193","1217","1.000","human_verified"
"IRON_005","ANN_013","terminal_state","50.694","59.633","1217","1431","8.939","human_verified"
