"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_010","ANN_001","initial_state","0.000","5.648","0","136","5.648","human_verified"
"IRON_010","ANN_002","approach","5.648","7.148","136","172","1.500","human_verified"
"IRON_010","ANN_003","position","7.148","8.148","172","196","1.000","human_verified"
"IRON_010","ANN_004","iron_stroke","7.148","54.833","172","1316","47.685","human_verified"
"IRON_010","ANN_005","slip","7.148","7.348","172","176","0.200","human_verified"
"IRON_010","ANN_006","slip","10.967","11.167","263","268","0.200","human_verified"
"IRON_010","ANN_007","slip","17.915","18.115","430","435","0.200","human_verified"
"IRON_010","ANN_008","slip","21.933","22.133","526","531","0.200","human_verified"
"IRON_010","ANN_009","tension","32.900","34.900","790","838","2.000","human_verified"
"IRON_010","ANN_010","slip","32.900","33.100","790","794","0.200","human_verified"
"IRON_010","ANN_011","slip","43.867","44.067","1053","1058","0.200","human_verified"
"IRON_010","ANN_012","slip","54.833","55.033","1316","1321","0.200","human_verified"
"IRON_010","ANN_013","release","54.833","55.833","1316","1340","1.000","human_verified"
"IRON_010","ANN_014","terminal_state","55.833","65.800","1340","1579","9.967","human_verified"
