"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_006","ANN_001","initial_state","0.000","7.483","0","180","7.483","human_verified"
"IRON_006","ANN_002","approach","7.483","8.983","180","216","1.500","human_verified"
"IRON_006","ANN_003","position","8.983","9.983","216","240","1.000","human_verified"
"IRON_006","ANN_004","anchor","8.983","44.917","216","1078","35.934","human_verified"
"IRON_006","ANN_005","slip","8.983","9.183","216","220","0.200","human_verified"
"IRON_006","ANN_006","slip","17.967","18.688","431","449","0.721","human_verified"
"IRON_006","ANN_007","iron_stroke","18.488","44.917","444","1078","26.429","human_verified"
"IRON_006","ANN_008","slip","26.950","27.471","647","659","0.521","human_verified"
"IRON_006","ANN_009","slip","35.933","36.133","862","867","0.200","human_verified"
"IRON_006","ANN_010","slip","44.917","45.117","1078","1083","0.200","human_verified"
"IRON_006","ANN_011","release","44.917","45.917","1078","1102","1.000","human_verified"
"IRON_006","ANN_012","terminal_state","45.917","53.900","1102","1294","7.983","human_verified"
