"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_003","ANN_001","initial_state","0.000","10.711","0","257","10.711","human_verified"
"IRON_003","ANN_002","approach","10.711","12.211","257","293","1.500","human_verified"
"IRON_003","ANN_003","position","12.211","13.211","293","317","1.000","human_verified"
"IRON_003","ANN_004","slip","12.211","12.411","293","298","0.200","human_verified"
"IRON_003","ANN_005","slip","24.422","24.622","586","591","0.200","human_verified"
"IRON_003","ANN_006","iron_stroke","31.528","61.056","757","1465","29.528","human_verified"
"IRON_003","ANN_007","tension","31.528","33.528","757","805","2.000","human_verified"
"IRON_003","ANN_008","slip","31.528","31.728","757","761","0.200","human_verified"
"IRON_003","ANN_009","slip","36.633","36.833","879","884","0.200","human_verified"
"IRON_003","ANN_010","slip","43.539","43.739","1045","1050","0.200","human_verified"
"IRON_003","ANN_011","slip","48.844","49.044","1172","1177","0.200","human_verified"
"IRON_003","ANN_012","slip","61.056","61.256","1465","1470","0.200","human_verified"
"IRON_003","ANN_013","release","61.056","62.056","1465","1489","1.000","human_verified"
"IRON_003","ANN_014","terminal_state","62.056","73.267","1489","1758","11.211","human_verified"
