"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_012","ANN_001","initial_state","0.000","10.134","0","243","10.134","human_verified"
"IRON_012","ANN_002","approach","10.134","11.634","243","279","1.500","human_verified"
"IRON_012","ANN_003","slip","10.828","11.028","260","265","0.200","human_verified"
"IRON_012","ANN_004","iron_stroke","11.634","54.139","279","1299","42.505","human_verified"
"IRON_012","ANN_005","slip","11.634","11.834","279","284","0.200","human_verified"
"IRON_012","ANN_006","position","21.656","22.656","520","544","1.000","human_verified"
"IRON_012","ANN_007","slip","21.656","21.856","520","525","0.200","human_verified"
"IRON_012","ANN_008","slip","22.262","22.462","534","539","0.200","human_verified"
"IRON_012","ANN_009","slip","32.483","32.683","780","784","0.200","human_verified"
"IRON_012","ANN_010","slip","43.311","43.511","1039","1044","0.200","human_verified"
"IRON_012","ANN_011","slip","54.139","54.339","1299","1304","0.200","human_verified"
"IRON_012","ANN_012","release","54.139","55.139","1299","1323","1.000","human_verified"
"IRON_012","ANN_013","terminal_state","55.139","64.967","1323","1559","9.828","human_verified"
