"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_004","ANN_001","initial_state","0.000","12.983","0","312","12.983","human_verified"
"IRON_004","ANN_002","approach","12.983","14.483","312","348","1.500","human_verified"
"IRON_004","ANN_003","position","14.483","15.483","348","372","1.000","human_verified"
"IRON_004","ANN_004","slip","14.483","14.683","348","352","0.200","human_verified"
"IRON_004","ANN_005","iron_stroke","25.322","72.417","608","1738","47.095","human_verified"
"IRON_004","ANN_006","slip","25.322","25.522","608","613","0.200","human_verified"
"IRON_004","ANN_007","slip","28.967","29.167","695","700","0.200","human_verified"
"IRON_004","ANN_008","slip","39.606","39.806","951","955","0.200","human_verified"
"IRON_004","ANN_009","slip","43.450","43.650","1043","1048","0.200","human_verified"
"IRON_004","ANN_010","slip","57.933","58.133","1390","1395","0.200","human_verified"
"IRON_004","ANN_011","slip","72.417","72.617","1738","1743","0.200","human_verified"
"IRON_004","ANN_012","release","72.417","73.417","1738","1762","1.000","human_verified"
"IRON_004","ANN_013","terminal_state","73.417","86.900","1762","2086","13.483","human_verified"
