"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_002","ANN_001","initial_state","0.000","14.144","0","339","14.144","human_verified"
"IRON_002","ANN_002","approach","14.144","15.644","339","375","1.500","human_verified"
"IRON_002","ANN_003","position","15.644","16.644","375","399","1.000","human_verified"
"IRON_002","ANN_004","slip","15.644","15.844","375","380","0.200","human_verified"
"IRON_002","ANN_005","iron_stroke","26.740","78.222","642","1877","51.482","human_verified"
"IRON_002","ANN_006","slip","26.740","26.940","642","647","0.200","human_verified"
"IRON_002","ANN_007","slip","31.289","31.489","751","756","0.200","human_verified"
"IRON_002","ANN_008","slip","42.185","42.385","1012","1017","0.200","human_verified"
"IRON_002","ANN_009","slip","46.933","47.133","1126","1131","0.200","human_verified"
"IRON_002","ANN_010","slip","62.578","62.778","1502","1507","0.200","human_verified"
"IRON_002","ANN_011","slip","78.222","78.422","1877","1882","0.200","human_verified"
"IRON_002","ANN_012","release","78.222","79.222","1877","1901","1.000","human_verified"
"IRON_002","ANN_013","terminal_state","79.222","93.867","1901","2253","14.645","human_verified"
