"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_001","ANN_001","initial_state","0.000","13.792","0","331","13.792","human_verified"
"IRON_001","ANN_002","approach","13.792","15.292","331","367","1.500","human_verified"
"IRON_001","ANN_003","position","15.292","16.292","367","391","1.000","human_verified"
"IRON_001","ANN_004","reposition","20.583","35.675","494","856","15.092","human_verified"
"IRON_001","ANN_005","slip","20.583","20.783","494","499","0.200","human_verified"
"IRON_001","ANN_006","slip","30.584","30.784","734","739","0.200","human_verified"
"IRON_001","ANN_007","iron_hold","35.675","61.168","856","1468","25.493","human_verified"
"IRON_001","ANN_008","reposition","61.168","76.460","1468","1835","15.292","human_verified"
"IRON_001","ANN_009","slip","61.168","61.368","1468","1473","0.200","human_verified"
"IRON_001","ANN_010","release","76.460","77.460","1835","1859","1.000","human_verified"
"IRON_001","ANN_011","terminal_state","77.460","91.752","1859","2202","14.292","human_verified"
